"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",193.040277777778,180.668055555556,161.441666666667,141.678472222222,130.700694444444,125.120833333333,124.921527777778,112.71875,117.705555555556,115.450694444444
"2",191.01875,178.235416666667,155.884027777778,139.863194444444,131.185416666667,125.659027777778,122.701388888889,114.427083333333,117.081944444444,116.446527777778
"3",192.705555555556,178.504861111111,159.429861111111,142.650694444444,133.096527777778,124.320138888889,117.425,119.589583333333,117.628472222222,116.620833333333
"4",195.822916666667,178.879861111111,160.384722222222,141.384722222222,131.864583333333,124.911111111111,121.053472222222,124.81875,119.825,119.670833333333
"5",194.906944444444,178.172222222222,161.394444444444,138.117361111111,133.507638888889,125.581944444444,125.288194444444,121.454166666667,119.590972222222,117.454861111111
"6",194.602777777778,177.83125,157.397222222222,138.690972222222,131.674305555556,126.778472222222,119.111111111111,119.997916666667,112.339583333333,116.677777777778
"7",193.354861111111,177.898611111111,157.079861111111,140.993055555556,131.878472222222,131.141666666667,120.104166666667,122.660416666667,120.5125,118.005555555556
"8",194.719444444444,177.008333333333,157.927777777778,140.811111111111,130.160416666667,128.429166666667,119.252083333333,120.509027777778,117.765972222222,117.838888888889
"9",192.157638888889,177.643055555556,157.157638888889,142.996527777778,133.639583333333,119.121527777778,123.634722222222,119.226388888889,117.389583333333,122.704861111111
"10",194.963194444444,176.277083333333,158.280555555556,143.505555555556,136.079861111111,121.102083333333,124.258333333333,119.942361111111,120.009722222222,115.081944444444
